Date,Region,Product,Units_Sold,Revenue,Cost,Customer_Rating,Profit
2025-08,East,Laptop,295,8549.54,29700.81,4.6,-21151.27
2025-01,West,Monitor,282,45590.9,9806.14,4.3,35784.76
2025-09,North,Keyboard,378,41215.59,24334.26,2.4,16881.33
2025-11,East,Monitor,71,47515.1,7788.29,2.0,39726.81
2025-06,East,Keyboard,93,36423.12,20508.78,2.5,15914.34
2025-07,West,Keyboard,377,30864.05,22854.79,3.4,8009.26
2025-10,North,Tablet,226,21203.03,17950.03,2.1,3253.0
2025-07,North,Keyboard,351,46670.06,14252.97,3.5,32417.09
2025-10,East,Monitor,406,43370.16,12472.86,2.6,30897.3
2025-03,South,Keyboard,196,2738.32,10596.27,3.2,-7857.95
2025-02,East,Tablet,28,1805.17,27899.97,2.7,-26094.8
2025-09,East,Tablet,186,19134.94,24952.46,2.2,-5817.52
2025-08,East,Monitor,109,40622.39,28957.8,4.8,11664.59
2025-12,East,Phone,405,49370.17,3904.06,4.1,45466.11
2025-10,West,Phone,454,7945.64,21979.85,1.6,-14034.21
2025-07,North,Keyboard,242,29909.47,28162.55,4.5,1746.92
2025-09,West,Laptop,412,19354.1,5600.75,2.9,13753.35
2025-04,West,Keyboard,85,48510.76,2181.59,4.6,46329.17
2025-04,West,Monitor,274,42184.89,22285.4,4.2,19899.49
2025-01,East,Monitor,464,41997.27,17319.3,2.7,24677.97
2025-08,South,Monitor,293,23700.31,25286.5,1.1,-1586.19
2025-12,North,Monitor,215,21033.57,4365.22,2.1,16668.35
2025-03,South,Monitor,232,14033.65,23898.97,3.2,-9865.32
2025-07,West,Tablet,393,3290.59,6208.49,3.5,-2917.9
2025-12,West,Phone,61,43303.76,5076.95,2.0,38226.81
2025-02,South,Monitor,348,40738.6,5095.12,1.6,35643.48
2025-02,South,Laptop,376,49986.02,24474.33,4.3,25511.69
2025-07,South,Laptop,153,49833.52,20022.88,4.9,29810.64
2025-06,West,Laptop,382,27993.87,15787.35,3.1,12206.52
2025-03,West,Laptop,78,38564.88,10893.15,1.7,27671.73
2025-09,North,Tablet,108,47265.9,26340.58,2.1,20925.32
2025-10,North,Laptop,405,42557.55,11894.86,1.1,30662.69
2025-06,West,Monitor,34,12743.73,24534.66,4.7,-11790.93
2025-10,South,Keyboard,445,22801.93,13286.22,1.5,9515.71
2025-10,South,Laptop,388,6893.39,11432.94,3.3,-4539.55
2025-06,North,Tablet,478,47725.53,13987.86,2.1,33737.67
2025-01,West,Tablet,493,30505.64,9181.06,3.2,21324.58
2025-04,North,Laptop,62,11817.82,22478.76,3.6,-10660.94
2025-10,North,Keyboard,160,33749.18,15181.07,4.3,18568.11
2025-06,East,Laptop,153,31097.35,7119.94,1.8,23977.41
2025-06,East,Tablet,66,18229.05,27007.32,1.0,-8778.27
2025-11,East,Phone,48,6121.1,11639.96,1.5,-5518.86
2025-12,South,Monitor,118,33742.87,16397.88,4.6,17344.99
2025-05,West,Tablet,190,26255.23,27212.87,4.5,-957.64
2025-01,West,Laptop,51,38729.76,18802.29,3.4,19927.47
2025-08,West,Monitor,195,26248.09,3683.56,3.4,22564.53
2025-05,West,Laptop,432,42682.98,28207.0,3.7,14475.98
2025-12,East,Laptop,407,27819.39,18905.7,1.7,8913.69
2025-12,South,Phone,232,28266.43,10180.19,4.7,18086.24
2025-12,South,Monitor,131,43894.35,4350.31,2.7,39544.04
2025-05,East,Monitor,142,20472.4,23861.95,2.5,-3389.55
2025-07,South,Phone,172,7133.75,18678.17,3.1,-11544.42
2025-04,East,Tablet,224,1924.74,16097.14,1.2,-14172.4
2025-06,West,Laptop,230,37879.29,26838.0,1.7,11041.29
2025-04,East,Keyboard,244,31205.32,23700.2,4.0,7505.12
2025-03,West,Laptop,340,35351.95,4719.91,1.3,30632.04
2025-07,West,Laptop,155,11041.73,9489.32,3.4,1552.41
2025-08,North,Tablet,248,7250.39,7604.98,2.0,-354.59
2025-04,East,Laptop,85,1219.96,22369.6,2.6,-21149.64
2025-02,North,Phone,18,17854.08,1199.27,2.2,16654.81
2025-12,East,Phone,83,29700.93,17182.71,2.4,12518.22
2025-10,East,Monitor,451,19916.08,22921.27,3.9,-3005.19
2025-03,North,Keyboard,410,22155.01,26327.62,2.2,-4172.61
2025-01,North,Laptop,262,45255.86,10394.04,3.3,34861.82
2025-08,East,Laptop,239,17738.65,24673.47,2.9,-6934.82
2025-03,South,Tablet,16,25942.48,3496.83,3.7,22445.65
2025-12,West,Phone,183,39290.82,25424.28,4.7,13866.54
2025-10,North,Keyboard,150,20128.87,3999.16,3.9,16129.71
2025-07,West,Monitor,177,31293.29,12039.16,1.9,19254.13
2025-10,South,Phone,179,43187.0,23959.4,1.1,19227.6
2025-05,South,Monitor,402,47501.27,4667.54,2.0,42833.73
2025-10,South,Tablet,443,7780.14,7031.69,3.4,748.45
2025-05,North,Tablet,292,46366.09,21723.13,1.2,24642.96
2025-07,South,Laptop,131,24859.76,21657.09,3.0,3202.67
2025-09,North,Keyboard,203,13283.1,19306.2,3.4,-6023.1
2025-12,South,Monitor,14,23227.22,20879.66,2.3,2347.56
2025-05,West,Phone,38,49011.61,16373.19,4.1,32638.42
2025-01,West,Tablet,174,24884.6,7703.61,1.4,17180.99
2025-10,East,Laptop,431,16773.2,10501.74,1.3,6271.46
